bus,v
p13udm100790,1.0220721228415877
p13udm100792,1.024072553380553
p13udm100793,1.0231385275927563
p13udm100794,1.023754625473888
p13udm31470,1.0175401785148883
p13udm31471,1.0143344206763936
p13udm31479,1.0190018310988425
p13udm31480,1.0186879158694477
p13udm31481,1.0229194019623935
p13udm31483,1.0226800344745672
p13udm31485,1.0219067947970926
p13udm32293,1.0146914113561176
p13udm32294,1.0146998068759112
p13udm32295,1.0150378006260774
p13udm32296,1.0151476365158059
p13udm32300,1.0184287122728253
p13udm32301,1.0186422281200809
p13udm32303,1.0144952138461498
p13udm32305,1.0140719033057644
p13udm32307,1.0137484855236663
p13udm32308,1.0143170231074334
p13udm32309,1.0155905395596903
p13udm32313,1.0186937874144597
p13udm32316,1.0180423167073887
p13udm32317,1.0183763549082212
p13udm32318,1.0190509973165232
p13udm32319,1.0200576249600601
p13udm32320,1.0215093040279877
p13udm32321,1.0213466875615196
p13udm32322,1.0175934946335905
p13udm32323,1.0187689572478642
p13udm32324,1.016528563736459
p13udm32325,1.0235473040994112
p13udm32327,1.0225357429494528
p13udm32329,1.0233116752014206
p13udm32334,1.022519487339521
p13udm32335,1.0230316340113785
p13udm32339,1.021994494288099
p13udm32341,1.0194482491670338
p13udm32342,1.0195413082014995
p13udm32344,1.015479092397925
p13udm32362,1.0109397596505472
p13udm32363,1.0132457421085665
p13udm32366,1.0113894867791076
p13udm32373,1.0124654938700344
p13udm32376,1.0134333353480902
p13udm32378,1.0122073446438247
p13udm32385,1.0141995477750307
p13udm32387,1.0145692832754785
p13udm32388,1.0143234603401585
p13udm32389,1.0148227072272529
p13udm32390,1.0148814465122071
p13udm32392,1.0157696038250508
p13udm32393,1.01561731684414
p13udm32402,1.0147660131892888
p13udm32404,1.0154443355962646
p13udm32405,1.0131232139383972
p13udm32407,1.0146522722486222
p13udm32419,1.0179794133706146
p13udm32422,1.019366620133169
p13udm32426,1.023119638046681
p13udm32427,1.0228557680897947
p13udm32428,1.0228271874265507
p13udm32429,1.0152235378358923
p13udm32433,1.0190265095357491
p13udm32436,1.0188123724078157
p13udm32437,1.018914090651966
p13udm32439,1.0185388717146262
p13udm32445,1.0152743131766289
p13udm32446,1.0180382782076995
p13udm32448,1.0175155774929188
p13udm32449,1.0168786374238072
p13udm32451,1.0208314982564324
p13udm32457,1.0158058817511382
p13udm32463,1.018707165474878
p13udm32464,1.0182144735161223
p13udm32465,1.0171376529932412
p13udm32469,1.0119314639815031
p13udm32473,1.0154828179181141
p13udm32475,1.0166950378023507
p13udm32479,1.0162881866004922
p13udm32480,1.0158888250422016
p13udm32481,1.0166357038788192
p13udm32482,1.0126057136362503
p13udm32483,1.0151299791691661
p13udm32486,1.0168284521018034
p13udm32489,1.0166879774459385
p13udm32492,1.0164048779783028
p13udm32494,1.0161025370086811
p13udm32497,1.0147647766315466
p13udm32498,1.0171690946766265
p13udm32500,1.0169999332274362
p13udm32502,1.016597361603896
p13udm32503,1.0208536416464429
p13udm32505,1.0206689827825712
p13udm32509,1.0234910422819896
p13udm32510,1.0228817744668017
p13udm32515,1.0215308607828577
p13udm32516,1.0212987266407147
p13udm32520,1.0222989748567008
p13udm32521,1.0212222223083591
p13udm32522,1.0212174502148708
p13udm32523,1.0182541659766464
p13udm32527,1.0225275944846839
p13udm32529,1.0224300615219408
p13udm32531,1.0218295239558812
p13udm32532,1.0232611126608182
p13udm32535,1.013928669399182
p13udm32537,1.0147888494568629
p13udm32538,1.014047353763668
p13udm32540,1.014785256216479
p13udm32541,1.013279651312379
p13udm32546,1.0141782094504759
p13udm32547,1.014066391051411
p13udm32549,1.013654068109295
p13udm34216,1.020861255972125
p13udm34217,1.0215688009767407
p13udm34285,1.0154490446892108
p13udm34286,1.015629979570889
p13udm34290,1.0138072052300613
p13udm34292,1.0143855318454815
p13udm34297,1.0122276448122505
p13udm34300,1.0141436100600951
p13udm34301,1.0143709528978915
p13udm34303,1.0140458043352112
p13udm38708,1.0242235617236208
p13udm38711,1.0256719017765423
p13udm38713,1.024400487127411
p13udm38714,1.024885350950121
p13udm38715,1.0241680956303176
p13udm38730,1.0244623975496248
p13udm38733,1.02594789929956
p13udm38735,1.0262176629530921
p13udm38739,1.0231589879875362
p13udm38742,1.023837310431114
p13udm38743,1.024624275898398
p13udm38744,1.025169848802181
p13udm38745,1.0249662438636662
p13udm38747,1.0219239828408702
p13udm38748,1.0201966788673693
p13udm38749,1.0229723932822552
p13udm38750,1.023858847908791
p13udm38752,1.0232403129606802
p13udm38759,1.0250723078998956
p13udm38760,1.0257748911714133
p13udm38762,1.0252789582689719
p13udm38781,1.0249057154381185
p13udm38882,1.023438020913107
p13udm38883,1.0229215303557186
p13udm38884,1.0239222833404322
p13udm38885,1.0240179377326424
p13udm38890,1.019936986385258
p13udm38891,1.0232542915704887
p13udm38892,1.022080830588321
p13udm38893,1.0226397299119914
p13udm38896,1.023338493226504
p13udm38897,1.022619423316617
p13udm38900,1.0215893297649954
p13udm38902,1.0238823616338282
p13udm38903,1.0241698653803013
p13udm38904,1.0204187271449476
p13udm38906,1.0224519081346146
p13udm38908,1.0243696560070443
p13udm38911,1.0202479965487175
p13udm38912,1.0196929516662439
p13udm38913,1.0210705756275391
p13udm38914,1.0227563309290126
p13udm38915,1.0217596325959444
p13udm38916,1.0206497702301442
p13udm38917,1.0209140243887571
p13udm38919,1.0249439047310283
p13udm38920,1.0240787231510962
p13udm38921,1.0224472454603308
p13udm38923,1.0224923364160368
p13udm38929,1.0237031736586641
p13udm38930,1.0213020256282666
p13udm38932,1.0235832741913296
p13udm38935,1.022142733439029
p13udm38936,1.0233574084420731
p13udm38938,1.01959642267748
p13udm38939,1.0191626818968174
p13udm38940,1.018236652119858
p13udm38941,1.0187967545946852
p13udm38944,1.019445653460761
p13udm38949,1.022547229682376
p13udm38950,1.0227757842197636
p13udm38952,1.0232530265148116
p13udm38954,1.022997620965278
p13udm38956,1.022465685190106
p13udm38957,1.0227515601038997
p13udm38958,1.0221046770991644
p13udm38960,1.019134995424407
p13udm38961,1.0192708680674158
p13udm38963,1.0189771324246382
p13udm38966,1.017861401297027
p13udm38969,1.0175195041782261
p13udm38974,1.0253513950283564
p13udm38976,1.0243117511711146
p13udm38980,1.0246777112105785
p13udm38981,1.0240340787255207
p13udm38983,1.0240967408777921
p13udm38984,1.022986509416035
p13udm38985,1.0235443908681587
p13udm38990,1.0217267221342392
p13udm38994,1.0228651737843872
p13udm38998,1.0230961465130644
p13udm42761,1.0218393286305583
p13udm42762,1.021242335815146
p13udm42763,1.021156357070522
p13udm42766,1.0228514952110965
p13udm42785,1.0222146672954706
p13udm42787,1.0216385089199789
p13udm42792,1.0209332447275685
p13udm42794,1.0222955747848856
p13udm42795,1.021435103480804
p13udm42800,1.0220518313157316
p13udm42804,1.0199539369844748
p13udm42805,1.0216706919098844
p13udm42810,1.0219812797795391
p13udm42811,1.0229890092976253
p13udm42813,1.0222066871437245
p13udm42818,1.0192054439879108
p13udm42819,1.018487818614596
p13udm42821,1.0182787257706838
p13udm42822,1.0236676336696506
p13udm42823,1.023052168620751
p13udm42825,1.0212864711496046
p13udm42828,1.0202538881048442
p13udm42834,1.0206308309992949
p13udm42835,1.020301013427435
p13udm42837,1.0199879272471692
p13udm42839,1.0192408373226303
p13udm42841,1.0220315581863693
p13udm42851,1.022345954343547
p13udm42854,1.0219158508279267
p13udm42855,1.0205559741532528
p13udm42858,1.0212089250143812
p13udm44170,1.0250478990688934
p13udm44171,1.0251412058868818
p13udm44172,1.0203641363921374
p13udm44173,1.0202491751271032
p13udm44176,1.019449964247543
p13udm44183,1.0226386121376807
